Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
010-001,"Reykjavik, Iceland",1956,2022,67,98,2.41,0.36,0.79,0.12,64.15,-21.9333
015-011,"Torshavn, Denmark",1957,2006,50,84,1.8,0.4,0.59,0.13,62.0167,-6.7667
025-001,"Barentsburg, Norway",1948,2022,75,92,-2.56,0.43,-0.84,0.14,78.0667,14.25
025-021,"Ny-Alesund, Norway",1976,2022,47,90,-5.14,0.6,-1.69,0.2,78.9285,11.938
030-003,"Russkaya Gavan II, Russia",1953,1993,41,98,-0.54,1.05,-0.18,0.34,76.2,62.5833
030-018,"Murmansk, Russia",1952,2022,71,98,2.42,0.65,0.79,0.21,68.9667,33.05
030-345,"Dikson, Russia",1950,2020,71,79,1.9,0.91,0.62,0.3,73.5,80.4
030-447,"Tiksi, Russia",1949,2010,62,100,1.53,0.7,0.5,0.23,71.5833,128.9167
030-725,"Providenia, Russia",1951,1983,33,99,3.42,1.3,1.12,0.43,64.4167,-173.2333
040-001,"Vardo, Norway",1947,2022,76,72,-0.09,0.39,-0.03,0.13,70.3333,31.1
040-015,"Honningsvag, Norway",1970,2022,53,97,1.45,0.63,0.48,0.21,70.9833,25.9833
040-041,"Andenes, Norway",1938,2022,85,66,-0.73,0.38,-0.24,0.12,69.3167,16.15
040-081,"Narvik, Norway",1928,2022,95,90,-1.91,0.38,-0.63,0.13,68.4333,17.4167
040-136,"Rorvik, Norway",1969,2022,54,99,-0.8,0.61,-0.26,0.2,64.8667,11.25
040-151,"Heimsjo, Norway",1928,2022,95,97,-1.22,0.25,-0.4,0.08,63.4333,9.1167
040-211,"Maloy, Norway",1943,2022,80,95,0.86,0.31,0.28,0.1,61.9333,5.1167
040-221,"Bergen, Norway",1915,2022,108,93,0.09,0.19,0.03,0.06,60.4,5.3
040-261,"Stavanger, Norway",1919,2022,104,91,0.42,0.18,0.14,0.06,58.9667,5.7333
040-301,"Tregde, Norway",1927,2022,96,98,0.37,0.16,0.12,0.05,58.0,7.5667
040-321,"Oslo, Norway",1885,2022,138,80,-3.06,0.26,-1.0,0.08,59.9,10.75
050-011,"Smogen, Sweden",1911,2022,112,100,-1.67,0.22,-0.55,0.07,58.3667,11.2167
050-032,"Goteborg - Torshamnen, Sweden",1887,2022,54,99,-0.98,0.34,-0.32,0.11,57.6833,11.8
050-051,"Klagshamn, Sweden",1929,2022,94,100,0.41,0.34,0.13,0.11,55.5167,12.9
050-081,"Kungholmsfort, Sweden",1887,2022,136,100,0.1,0.22,0.03,0.07,56.1,15.5833
050-091,"Olands Norra Udde, Sweden",1887,2022,136,100,-1.01,0.26,-0.33,0.08,57.3661,17.0972
050-096,"Visby, Sweden",1916,2022,107,100,-1.02,0.37,-0.34,0.12,57.6392,18.2844
050-123,"Landsort Norra, Sweden",1887,2022,136,100,-2.74,0.27,-0.9,0.09,58.7689,17.8589
050-141,"Stockholm, Sweden",1889,2022,134,100,-3.69,0.28,-1.21,0.09,59.3167,18.0833
050-191,"Ratan, Sweden",1892,2022,131,100,-7.65,0.34,-2.51,0.11,64.0,20.9167
050-201,"Furuogrund, Sweden",1916,2022,107,100,-7.82,0.48,-2.57,0.16,64.9167,21.2333
060-001,"Kemi, Finland",1920,2022,103,97,-6.69,0.52,-2.19,0.17,65.6667,24.5167
060-011,"Oulu/Uleaborg, Finland",1889,2022,134,96,-6.26,0.35,-2.05,0.12,65.0333,25.4167
060-021,"Raahe/Brahestad, Finland",1922,2022,101,94,-6.62,0.53,-2.17,0.18,64.6667,24.4
060-041,"Pietarsaari/Jakobstad, Finland",1914,2022,109,98,-7.0,0.47,-2.3,0.16,63.7,22.7
060-051,"Vaasa/Vasa, Finland",1883,2022,140,96,-7.15,0.3,-2.35,0.1,63.0833,21.5667
060-071,"Kaskinen/Kasko, Finland",1926,2022,97,98,-6.23,0.55,-2.04,0.18,62.35,21.2167
060-101,"Mantyluoto, Finland",1910,2022,113,99,-5.68,0.42,-1.86,0.14,61.6,21.4667
060-241,"Turku/Abo, Finland",1922,2022,101,98,-3.44,0.5,-1.13,0.16,60.4333,22.1
060-281,"Foglo/Degerby, Finland",1923,2022,100,96,-3.6,0.48,-1.18,0.16,60.0333,20.3833
060-331,"Hanko/Hango, Finland",1887,2022,136,90,-2.49,0.31,-0.82,0.1,60.1,23.55
060-351,"Helsinki, Finland",1879,2022,144,100,-2.15,0.29,-0.7,0.1,60.15,24.9667
060-361,"Hamina, Finland",1928,2022,95,99,-0.77,0.63,-0.25,0.21,60.5667,27.1833
080-181,"Pionersky, Russia",1926,1986,61,87,1.84,0.88,0.6,0.29,54.95,20.2167
084-161,"Klaipeda, Lithuania",1898,2018,121,92,1.49,0.36,0.49,0.12,55.7,21.1333
110-022,"Gdansk/Nowy Port, Poland",1951,1999,49,100,2.91,1.23,0.95,0.4,54.4,18.6833
110-047,"Wladyslawowo, Poland",1951,1999,49,100,2.45,1.26,0.81,0.41,54.8,18.4167
110-057,"Ustka, Poland",1951,1999,49,100,1.71,1.16,0.56,0.38,54.5833,16.8667
110-072,"Kolobrzeg, Poland",1951,1999,49,100,1.27,1.07,0.42,0.35,54.1833,15.55
110-092,"Swinoujscie, Poland",1811,1999,189,97,0.81,0.12,0.26,0.04,53.9167,14.2333
120-012,"Warnemunde, Germany",1855,2022,168,100,1.29,0.1,0.42,0.03,54.1833,12.0833
120-022,"Wismar, Germany",1848,2021,174,99,1.44,0.09,0.47,0.03,53.9,11.4667
125-001,"Travemunde, Germany",1856,2019,164,100,1.68,0.08,0.55,0.03,53.9581,10.8722
130-001,"Gedser, Denmark",1892,2017,126,99,1.2,0.15,0.39,0.05,54.5667,11.9333
130-021,"Kobenhavn, Denmark",1889,2017,129,98,0.59,0.18,0.19,0.06,55.6833,12.6
130-031,"Hornbaek, Denmark",1891,2017,127,98,0.4,0.18,0.13,0.06,56.1,12.4667
130-041,"Korsor, Denmark",1897,2017,121,98,0.83,0.17,0.27,0.05,55.3333,11.1333
130-051,"Slipshavn, Denmark",1896,2017,122,97,1.07,0.14,0.35,0.05,55.2833,10.8333
130-071,"Fredericia, Denmark",1889,2017,129,99,1.1,0.1,0.36,0.03,55.5667,9.7667
130-081,"Aarhus, Denmark",1888,2017,130,98,0.65,0.11,0.21,0.03,56.15,10.2167
130-091,"Frederikshavn, Denmark",1894,2017,124,97,0.06,0.14,0.02,0.05,57.4333,10.5667
130-101,"Hirtshals, Denmark",1892,2017,126,96,-0.22,0.19,-0.07,0.06,57.6,9.9667
130-121,"Esbjerg, Denmark",1889,2017,129,99,1.25,0.24,0.41,0.08,55.4667,8.4333
140-012,"Cuxhaven 2, Germany",1843,2020,178,100,2.12,0.14,0.69,0.04,53.8667,8.7167
150-001,"Delfzijl, Netherlands",1865,2021,157,100,1.8,0.13,0.59,0.04,53.3264,6.9331
150-021,"Harlingen, Netherlands",1865,2021,157,100,1.46,0.13,0.48,0.04,53.176,5.409
150-031,"Den Helder, Netherlands",1865,2021,157,100,1.51,0.1,0.5,0.03,52.9644,4.745
150-041,"Ijmuiden, Netherlands",1871,2021,135,100,2.1,0.13,0.69,0.04,52.4622,4.5547
150-051,"Hoek van Holland, Netherlands",1864,2021,158,100,2.4,0.1,0.79,0.03,51.9775,4.12
150-061,"Maassluis, Netherlands",1848,2021,174,100,1.69,0.1,0.56,0.03,51.9175,4.2497
150-101,"Vlissingen, Netherlands",1862,2021,135,100,2.18,0.11,0.71,0.04,51.4422,3.5961
160-011,"Zeebrugge, Belgium",1942,2022,81,74,2.63,0.29,0.86,0.09,51.35,3.2
160-021,"Oostende, Belgium",1937,2022,86,94,1.99,0.2,0.65,0.07,51.2333,2.9167
160-031,"Nieuwpoort, Belgium",1943,2022,80,72,2.45,0.31,0.8,0.1,51.15,2.7333
170-001,"Lerwick, UK",1957,2022,66,87,0.53,0.33,0.17,0.11,60.15,-1.1333
170-005,"Wick, UK",1965,2022,58,92,1.6,0.42,0.52,0.14,58.441,-3.0863
170-011,"Aberdeen I, UK",1862,2022,161,92,0.78,0.08,0.25,0.03,57.1441,-2.0774
170-053,"North Shields, UK",1895,2022,128,92,1.89,0.12,0.62,0.04,55.0,-1.4333
170-061,"Immingham, UK",1961,2022,62,86,2.28,0.51,0.75,0.17,53.6302,-0.1874
170-068,"Lowestoft, UK",1955,2022,68,94,2.69,0.29,0.88,0.1,52.4731,1.7501
170-081,"Southend, UK",1933,2015,83,78,1.22,0.19,0.4,0.06,51.5145,0.7238
170-092,"Tower Pier, UK",1929,2013,85,65,1.43,0.35,0.47,0.11,51.5,0.0833
170-101,"Sheerness, UK",1832,2022,191,52,1.71,0.09,0.56,0.03,51.45,0.75
170-111,"Dover, UK",1961,2022,62,82,2.37,0.28,0.78,0.09,51.1144,1.3227
170-131,"Portsmouth, UK",1961,2022,62,92,1.87,0.4,0.61,0.13,50.8022,-1.1113
170-157,"Devonport, UK",1961,2022,62,94,2.28,0.51,0.75,0.17,50.3684,-4.1852
170-161,"Newlyn, UK",1915,2022,108,98,1.94,0.15,0.63,0.05,50.1,-5.55
170-191,"Holyhead, UK",1938,2022,85,81,2.36,0.26,0.77,0.09,53.3139,-4.6204
170-211,"Liverpool, UK",1858,1983,126,70,1.14,0.19,0.37,0.06,53.4,-3.0
170-225,"Heysham, UK",1960,2022,63,81,2.48,0.56,0.81,0.18,54.0318,-2.9202
170-236,"Portpatrick, UK",1968,2011,44,97,2.21,0.62,0.72,0.2,54.8426,-5.12
170-241,"Millport, UK",1968,2022,55,74,1.7,0.62,0.56,0.2,55.7498,-4.9063
170-251,"Stornoway, UK",1977,2022,46,86,2.86,0.6,0.94,0.2,58.2,-6.3833
175-011,"Malin Head, Ireland",1958,2002,45,97,-1.2,0.75,-0.39,0.25,55.3667,-7.3333
175-071,"Dublin, Ireland",1938,2009,72,99,1.43,0.46,0.47,0.15,53.35,-6.2167
190-001,"Dunkerque, France",1942,2021,80,68,1.74,0.29,0.57,0.1,51.05,2.3667
190-011,"Calais, France",1941,2022,82,55,0.86,0.5,0.28,0.16,50.9694,1.8677
190-031,"Dieppe, France",1954,2022,69,73,4.37,0.38,1.43,0.13,49.9291,1.0838
190-051,"Le Havre, France",1938,2022,85,68,2.19,0.36,0.72,0.12,49.4333,0.1
190-091,"Brest, France",1807,2022,216,90,1.04,0.08,0.34,0.02,48.3833,-4.5
190-111,"St. Nazaire, France",1941,2022,82,47,1.58,0.49,0.52,0.16,47.27,-2.2
190-121,"La Rochelle-La Pallice, France",1941,2022,82,55,1.72,0.64,0.56,0.21,46.1585,-1.2207
190-126,"Port Bloc, France",1959,2022,64,53,1.74,0.58,0.57,0.19,45.5685,-1.0616
190-139,"Boucau, France",1967,2022,56,84,1.71,0.7,0.56,0.23,43.5273,-1.5148
190-141,"St. Jean de Luz (Socoa), France",1942,2021,80,57,1.7,0.46,0.56,0.15,43.4,-1.6833
200-011,"Santander, Spain",1943,2018,76,98,2.22,0.34,0.73,0.11,43.4613,-3.7908
200-030,"La Coruna, Spain",1943,2018,76,98,2.43,0.36,0.8,0.12,43.3667,-8.4
200-041,"Vigo, Spain",1943,2018,76,98,2.05,0.38,0.67,0.12,42.238,-8.731
210-021,"Cascais, Portugal",1882,1993,112,93,1.32,0.15,0.43,0.05,38.6833,-9.4167
210-031,"Lagos, Portugal",1908,1999,92,79,1.62,0.24,0.53,0.08,37.1,-8.6667
215-001,"Gibraltar, Gibraltar",1961,2014,54,68,0.59,0.93,0.19,0.3,36.1333,-5.35
220-003,"Cadiz III, Spain",1961,2018,58,98,3.57,0.57,1.17,0.19,36.5333,-6.2833
220-011,"Algeciras, Spain",1943,2002,60,82,0.43,0.3,0.14,0.1,36.1167,-5.4333
220-021,"Tarifa, Spain",1943,2018,76,94,1.27,0.43,0.42,0.14,36.0,-5.6
220-031,"Malaga, Spain",1944,2013,70,82,0.76,0.46,0.25,0.15,36.7167,-4.4167
220-052,"Alicante II, Spain",1960,2020,61,93,0.83,0.28,0.27,0.09,38.3389,-0.4812
230-006,"Port Vendres, France",1984,2022,39,77,3.2,0.69,1.05,0.23,42.5201,3.1073
230-051,"Marseille, France",1885,2022,138,97,1.31,0.12,0.43,0.04,43.3,5.35
230-061,"Toulon, France",1961,2022,62,58,1.14,0.47,0.38,0.15,43.1129,5.9147
230-081,"Nice, France",1978,2022,45,88,2.69,0.6,0.88,0.2,43.6956,7.2855
250-011,"Genova, Italy",1884,2021,138,79,1.28,0.11,0.42,0.03,44.4,8.9
270-054,"Venezia (Punta della Salute), Italy",1872,2000,129,96,2.44,0.15,0.8,0.05,45.4333,12.3333
270-061,"Trieste, Italy",1875,2021,147,87,1.32,0.14,0.43,0.05,45.6474,13.7585
280-006,"Rovinj, Croatia",1955,2018,64,99,0.75,0.42,0.24,0.14,45.0833,13.6283
280-011,"Bakar, Croatia",1930,2020,91,88,1.17,0.3,0.38,0.1,45.3,14.5333
280-021,"Split Rt Marjana, Croatia",1952,2008,57,100,0.61,0.46,0.2,0.15,43.5083,16.3917
280-031,"Split Harbour-Gradska Luka, Croatia",1954,2018,65,100,1.03,0.41,0.34,0.13,43.5067,16.4417
280-081,"Dubrovnik, Croatia",1956,2018,63,99,1.58,0.38,0.52,0.13,42.6583,18.0633
290-001,"Preveza, Greece",1969,2022,54,79,0.57,0.72,0.19,0.23,38.9591,20.7566
290-004,"Levkas, Greece",1969,2022,54,87,5.59,0.66,1.83,0.22,38.8345,20.7121
290-011,"Posidhonia, Greece",1969,2022,54,74,1.15,1.01,0.38,0.33,37.9512,22.9601
290-017,"Katakolon, Greece",1969,2022,54,89,2.28,0.54,0.75,0.18,37.6333,21.3167
290-021,"Kalamai, Greece",1969,2019,51,73,3.39,0.61,1.11,0.2,37.0167,22.1333
290-031,"Piraievs, Greece",1969,2022,54,85,0.13,0.89,0.04,0.29,37.9373,23.6267
290-034,"Khalkis North, Greece",1969,2022,54,89,0.97,0.66,0.32,0.22,38.4667,23.6
290-051,"Thessaloniki, Greece",1969,2019,51,90,4.02,0.61,1.32,0.2,40.6167,23.0333
290-065,"Alexandroupolis, Greece",1969,2022,54,87,1.88,0.58,0.62,0.19,40.85,25.8833
290-071,"Khios, Greece",1969,2015,47,86,3.79,0.8,1.24,0.26,38.3833,26.15
290-081,"Siros, Greece",1969,2022,54,87,-1.57,0.76,-0.51,0.25,37.44,24.9458
290-091,"Leros, Greece",1969,2022,54,84,1.57,0.47,0.51,0.16,37.0833,26.8833
290-110,"Rodhos, Greece",1969,2008,40,73,-0.05,1.14,-0.02,0.37,36.4333,28.2333
295-021,"Bourgas, Bulgaria",1929,1996,68,86,1.91,0.9,0.63,0.29,42.4833,27.4833
295-051,"Varna, Bulgaria",1929,1996,68,95,1.22,0.84,0.4,0.28,43.1833,27.9167
297-021,"Constantza, Romania",1933,1997,65,95,1.37,0.96,0.45,0.32,44.1667,28.6667
298-041,"Sevastopol, Ukraine",1910,1994,85,97,1.26,0.77,0.41,0.25,44.6167,33.5333
300-001,"Tuapse, Russia",1917,2022,106,99,2.26,0.48,0.74,0.16,44.1,39.0667
305-021,"Poti, Georgia",1874,2018,145,95,6.68,0.26,2.19,0.09,42.1667,41.6833
305-031,"Batumi, Georgia",1882,2018,137,87,1.9,0.34,0.62,0.11,41.6333,41.7
330-071,"Alexandria, Egypt",1944,2006,63,96,1.78,0.37,0.58,0.12,31.2167,29.9167
340-001,"Ceuta, Spain",1944,2018,75,97,0.7,0.24,0.23,0.08,35.9,-5.3167
360-001,"Ponta Delgada, Portugal",1978,2018,41,75,3.86,0.68,1.27,0.22,37.7333,-25.6667
365-010,"Funchal-B, Portugal",1976,2015,13,59,2.06,1.19,0.68,0.39,32.6511,-17.1178
370-001,"Arrecife, Spain",1949,2018,70,82,0.56,0.39,0.18,0.13,28.9718,-13.53
370-032,"Tenerife, Spain",1927,2022,33,90,1.79,0.3,0.59,0.1,28.4772,-16.2411
410-001,"Takoradi, Ghana",1929,1969,41,48,3.32,0.5,1.09,0.16,4.8833,-1.75
427-001,"Walvis Bay, Namibia",1958,2015,58,54,0.95,0.81,0.31,0.27,-22.95,14.5
427-011,"Luderitz, Namibia",1958,2015,58,68,2.06,0.6,0.68,0.2,-26.6433,15.155
430-021,"Port Nolloth, South Africa",1959,2016,58,77,1.79,0.38,0.59,0.13,-29.2567,16.8678
430-045,"Cape Town (Granger Bay), South Africa",1967,2018,52,67,2.18,1.13,0.72,0.37,-33.9053,18.4347
430-061,"Simons Bay, South Africa",1957,2018,62,77,2.1,0.22,0.69,0.07,-34.1833,18.4333
430-086,"Knysna, South Africa",1960,2018,59,73,2.12,0.75,0.7,0.25,-34.0494,23.0456
430-088,"Port Elizabeth, South Africa",1978,2021,44,80,2.27,0.65,0.75,0.21,-33.9667,25.6333
430-090,"East London, South Africa",1967,2018,52,56,0.77,1.74,0.25,0.57,-33.0272,27.9317
430-091,"Durban, South Africa",1971,2020,50,72,1.63,0.44,0.53,0.14,-29.8833,31.0
430-095,"Richards Bay, South Africa",1977,2018,42,58,1.11,1.01,0.36,0.33,-28.8119,32.0786
432-001,"Maputo, Mozambique",1961,2001,41,40,0.66,1.04,0.22,0.34,-25.9667,32.5667
450-012,"Port Louis II, Mauritius",1986,2022,37,98,4.52,1.04,1.48,0.34,-20.15,57.5
450-021,"Rodrigues Island, Mauritius",1986,2022,37,94,5.23,1.22,1.72,0.4,-19.6667,63.4167
451-001,"Pointe des Galets, Reunion",1975,2022,48,73,2.05,0.84,0.67,0.28,-20.9349,55.285
454-002,"Gan II, Maldives",1987,2018,32,94,3.39,0.73,1.11,0.24,-0.6833,73.15
460-016,"Zanzibar, Tanzania",1984,2018,35,97,1.9,0.96,0.62,0.31,-6.15,39.1833
470-002,"Mombasa II, Kenya",1986,2018,33,77,3.54,0.9,1.16,0.3,-4.0667,39.65
485-001,"Aden, Yemen",1879,2013,135,50,1.25,0.15,0.41,0.05,12.7833,44.9833
490-021,"Karachi, Pakistan",1916,2016,101,57,2.01,0.51,0.66,0.17,24.8,66.9667
500-011,"Kandla, India",1950,2021,72,79,2.4,0.52,0.79,0.17,23.0167,70.2167
500-014,"Okha, India",1975,2021,47,82,2.04,0.49,0.67,0.16,22.4667,69.0833
500-041,"Mumbai/Bombay, India",1878,2020,143,88,0.97,0.1,0.32,0.03,18.9167,72.8333
500-065,"Mormugao, India",1969,2020,52,73,2.75,0.58,0.9,0.19,15.4167,73.8
500-067,"Karwar, India",1970,2020,51,61,2.13,0.83,0.7,0.27,14.8,74.1167
500-081,"Cochin, India",1939,2021,83,85,1.9,0.27,0.62,0.09,9.9667,76.2667
500-083,"Tuticorin, India",1964,2021,58,59,-0.17,0.72,-0.05,0.24,8.75,78.2
500-087,"Nagapattinam, India",1971,2021,51,43,0.18,0.68,0.06,0.22,10.7667,79.85
500-091,"Chennai/Madras, India",1916,2015,100,61,0.55,0.34,0.18,0.11,13.1,80.3
500-101,"Visakhapatnam, India",1937,2021,85,84,1.41,0.38,0.46,0.12,17.6833,83.2833
500-106,"Paradip, India",1966,2021,56,78,2.33,0.76,0.76,0.25,20.2667,86.7
500-109,"Gangra, India",1974,2006,33,96,1.45,1.28,0.48,0.42,21.95,88.0167
